passport_number,business_category,spending_category,spending_amount,tax_included,date_time,country,stay_duration_days,income_method,income_amount,currency
P23456024,Restaurant,Entertainment,6749.757939573595,Yes,2024-06-30,Japan,58,Pension,1356.7638370058585,EUR
UK8746305,Tourist Attraction,Entertainment,1148.7658319382306,Yes,2024-06-10,UK,132,Remote Job,1738.0681248054457,GBP
IN0416415,Restaurant,Accommodation,4909.857837563267,No,2024-11-11,India,129,Remote Job,1194.775335060025,CNY
CN264811894,Restaurant,Entertainment,9395.3156769728,No,2024-07-09,China,129,Pension,2844.7082098635005,GBP
USA3263956,Tourist Attraction,Food,1887.0323901482964,Yes,2024-05-06,USA,47,Freelance,1338.148935790152,GBP
UK3753563,Shop,Entertainment,5540.283505176754,Yes,2025-02-14,UK,49,Remote Job,3512.906379087298,JPY
USA0879301,Hotel,Shopping,4007.664347190776,No,2024-07-04,USA,4,Remote Job,2224.3852315986323,INR
IN9453886,Shop,Entertainment,8198.327298907398,Yes,2025-01-06,India,20,Savings,3266.3242882191366,JPY
USA3679903,Restaurant,Shopping,7614.207637729832,Yes,2025-04-18,USA,25,Remote Job,1770.1593518091695,EUR
UK1560240,Hotel,Shopping,9453.083349972085,Yes,2024-11-04,UK,134,Savings,2972.337138316843,JPY
CN201017297,Tourist Attraction,Accommodation,9267.88757593932,Yes,2025-02-07,China,111,Pension,4417.984918321474,GBP
USA3444969,Tourist Attraction,Accommodation,6340.661209142966,No,2024-09-17,USA,2,Remote Job,3186.1095784396966,JPY
IN6999734,Tourist Attraction,Accommodation,4077.433171358546,Yes,2025-02-13,India,158,Remote Job,3170.9392636795583,CNY
DE0949105,Hotel,Shopping,8007.765082801379,Yes,2024-10-20,Germany,55,Freelance,1433.0489382306523,CNY
P83382440,Shop,Accommodation,7080.945539902087,No,2025-03-01,Australia,175,Savings,2630.338200488014,JPY
P60494531,Shop,Accommodation,7095.997988182446,Yes,2024-04-30,Australia,12,Remote Job,2226.4643827241293,CNY
P24596599,Restaurant,Entertainment,8922.691739263875,Yes,2025-01-15,Australia,165,Pension,1241.7681692721194,AUD
CN641404205,Restaurant,Accommodation,9215.668403295744,Yes,2025-04-17,China,86,Pension,1877.32142890055,EUR
USA2041748,Restaurant,Shopping,9093.834901239858,No,2025-03-26,USA,116,Remote Job,4343.550780449674,GBP
P41209784,Shop,Entertainment,1628.8283514268526,Yes,2024-01-14,Australia,17,Freelance,4115.835981234152,AUD
UK6476003,Tourist Attraction,Shopping,5092.926927166098,Yes,2025-02-06,UK,27,Freelance,1894.8402888289725,JPY
USA3694469,Hotel,Accommodation,1147.1223641650438,Yes,2024-01-17,USA,50,Pension,3914.212885436326,JPY
USA0451151,Shop,Shopping,4777.965727035762,No,2024-07-02,USA,107,Remote Job,2249.271990471768,JPY
IN4856777,Restaurant,Entertainment,3409.0225263911248,No,2025-04-13,India,14,Pension,2193.58576458064,CNY
P81603006,Shop,Food,1906.2696674010424,Yes,2024-08-14,Australia,101,Savings,1396.956579992515,EUR
CN715021724,Shop,Accommodation,1605.2900123666482,Yes,2024-04-08,China,149,Freelance,4141.129061936888,USD
IN4596494,Tourist Attraction,Accommodation,7789.913140726337,Yes,2024-05-19,India,81,Pension,2245.9918053774527,USD
P87607561,Tourist Attraction,Entertainment,6674.640171204995,Yes,2024-09-24,Australia,144,Pension,2906.524581095544,USD
DE6093872,Shop,Shopping,6660.964596855379,Yes,2024-12-09,Germany,55,Savings,1052.0845465289483,EUR
IN4519661,Shop,Entertainment,3462.9612606031424,No,2024-07-06,India,164,Savings,4420.300468849913,USD
CN068221203,Hotel,Shopping,2538.45221715722,Yes,2025-03-29,China,78,Savings,2332.578423447978,JPY
USA4635912,Restaurant,Accommodation,8880.38765136904,No,2024-07-27,USA,168,Remote Job,2210.551074412388,EUR
P79711605,Shop,Entertainment,4059.902226114359,No,2024-01-29,Australia,131,Savings,4761.623952433039,USD
P73165372,Shop,Entertainment,2446.934672834752,No,2024-05-20,Australia,67,Pension,2067.8399537720256,AUD
P61590235,Hotel,Entertainment,6457.885303428249,Yes,2024-12-02,Australia,105,Remote Job,4881.980643405769,INR
IN8666229,Shop,Shopping,4389.304461525224,Yes,2024-10-08,India,163,Remote Job,1622.9965603918708,CNY
P51827736,Tourist Attraction,Accommodation,3111.1089829230777,No,2024-04-26,Australia,138,Pension,1381.3068342164877,USD
P01443411,Hotel,Shopping,7525.706499851697,Yes,2024-02-08,Australia,32,Freelance,4827.729608812075,JPY
P04006834,Shop,Shopping,2879.105431618518,Yes,2024-01-17,Australia,144,Pension,2996.46395145442,INR
P18645039,Hotel,Accommodation,3538.2681110574936,No,2024-07-27,Japan,61,Remote Job,2862.3898844974574,EUR
USA2945562,Hotel,Entertainment,5845.523275109415,No,2024-02-24,USA,118,Freelance,4103.203200444108,JPY
DE3497663,Hotel,Entertainment,2558.298251587918,No,2024-10-16,Germany,3,Pension,3217.5436574864493,JPY
P79846217,Shop,Accommodation,7405.552015972951,No,2025-03-20,Japan,106,Freelance,3472.7862425357694,INR
CN887605015,Shop,Shopping,9319.988697999775,Yes,2024-10-09,China,143,Remote Job,1885.690543600212,JPY
UK2264120,Tourist Attraction,Accommodation,6520.623449836194,Yes,2024-08-13,UK,31,Remote Job,2102.3667441516063,JPY
DE7325596,Restaurant,Accommodation,2926.594748601983,No,2024-05-15,Germany,138,Remote Job,2066.576991892587,JPY
UK6962923,Restaurant,Food,8458.15123598666,Yes,2024-12-08,UK,91,Remote Job,1030.1707585240858,USD
UK4282096,Shop,Shopping,9813.582342025918,No,2024-11-07,UK,128,Savings,3235.4401213024603,EUR
USA4284203,Shop,Food,1647.5129945909891,Yes,2024-05-04,USA,95,Savings,3731.399426665352,AUD
USA3679903,Hotel,Entertainment,4166.17719410108,No,2025-04-17,USA,25,Remote Job,1770.1593518091695,EUR
IN6823703,Restaurant,Entertainment,2301.4075322204653,Yes,2024-11-23,India,153,Savings,1725.9222516207851,INR
UK3174263,Tourist Attraction,Accommodation,5322.1770666914,No,2024-04-05,UK,149,Remote Job,3056.8258047262284,USD
UK8685456,Shop,Entertainment,2339.003302697284,Yes,2025-03-14,UK,21,Pension,2858.196610578449,USD
CN817474811,Hotel,Shopping,5661.941974695801,Yes,2024-10-19,China,101,Pension,4503.962133085872,EUR
P44158153,Restaurant,Accommodation,5080.956254032032,Yes,2024-11-11,Australia,114,Savings,2580.914604068133,USD
UK4659670,Tourist Attraction,Shopping,1370.5980884452513,Yes,2024-12-10,UK,4,Pension,4940.374413332646,GBP
IN4596494,Shop,Entertainment,1338.48764519593,Yes,2024-10-25,India,81,Pension,2245.9918053774527,USD
USA3480145,Shop,Entertainment,1410.7182790207703,No,2025-03-17,USA,128,Savings,1622.9218259059887,CNY
DE9368174,Hotel,Shopping,3515.885182907116,No,2025-03-06,Germany,146,Remote Job,3160.3164641217545,JPY
DE5957009,Restaurant,Food,9456.523725815783,Yes,2024-08-11,Germany,154,Remote Job,1545.117520177383,JPY
UK8718742,Tourist Attraction,Accommodation,8277.464919064656,No,2024-09-03,UK,163,Remote Job,4123.185986466851,USD
USA8379762,Tourist Attraction,Entertainment,7764.328118066625,Yes,2024-07-15,USA,80,Freelance,2428.8625996400674,GBP
P28324006,Tourist Attraction,Shopping,8138.722538180536,No,2024-04-10,Japan,175,Pension,1584.570785259294,EUR
USA6037916,Restaurant,Shopping,6429.071530248581,No,2024-03-18,USA,84,Savings,1306.4874227383143,USD
P32008116,Restaurant,Accommodation,9237.764186389826,Yes,2024-02-29,Australia,19,Pension,1141.8648935493056,EUR
UK2825565,Restaurant,Food,3788.459022849206,No,2025-01-28,UK,164,Freelance,4074.670130663137,CNY
UK2633840,Tourist Attraction,Accommodation,8808.249341104805,Yes,2024-06-08,UK,126,Freelance,2935.2715358555824,USD
CN143903142,Tourist Attraction,Entertainment,4629.666342048308,Yes,2024-10-30,China,160,Remote Job,2200.2842098859564,JPY
IN8358822,Restaurant,Entertainment,8068.115214870336,Yes,2025-01-14,India,61,Remote Job,1771.4505369840326,AUD
P34280290,Hotel,Entertainment,3202.6884308606186,No,2025-04-11,Japan,149,Remote Job,2860.730920303724,USD
CN512452565,Hotel,Shopping,8889.349901213855,No,2024-06-13,China,82,Remote Job,3043.457163628683,USD
IN0837198,Tourist Attraction,Food,5986.484839049413,Yes,2025-01-25,India,153,Freelance,3845.183826787902,JPY
IN4154046,Restaurant,Entertainment,3664.3726619716895,Yes,2024-02-17,India,169,Pension,3615.252655031065,AUD
USA0541002,Shop,Entertainment,8440.397918458777,No,2024-06-23,USA,137,Remote Job,4926.222239979573,USD
P95352578,Shop,Shopping,2009.4320148341008,No,2024-09-25,Australia,157,Pension,4056.7886865595015,AUD
IN7259074,Restaurant,Shopping,4737.790656057685,No,2024-11-23,India,111,Remote Job,3660.746906144144,CNY
DE7422149,Shop,Entertainment,7602.198013135774,No,2024-05-27,Germany,106,Savings,4678.15920815398,AUD
P61893221,Shop,Food,6231.886405237268,Yes,2024-01-22,Australia,16,Freelance,1693.69615785592,EUR
DE8030903,Restaurant,Shopping,8095.316843901769,Yes,2024-12-13,Germany,122,Savings,2612.5264690466342,EUR
USA1176789,Restaurant,Accommodation,883.3792008385403,No,2025-01-26,USA,107,Remote Job,1154.7678301507117,AUD
P96136997,Tourist Attraction,Shopping,7655.388983459562,Yes,2024-09-20,Japan,121,Remote Job,2951.862075531472,GBP
USA8140853,Restaurant,Shopping,7959.101136058961,No,2025-02-16,USA,38,Savings,4434.374945895144,CNY
UK1038245,Hotel,Accommodation,8727.639232511234,Yes,2024-09-11,UK,159,Freelance,4067.21794432136,JPY
USA4119001,Restaurant,Shopping,6770.712985492845,Yes,2024-10-14,USA,28,Freelance,2893.8037894490085,CNY
P76572368,Hotel,Food,6728.231095272053,No,2024-06-03,Australia,171,Savings,3883.9776426411377,JPY
USA2623355,Restaurant,Accommodation,2703.506548847604,Yes,2024-08-19,USA,51,Savings,4572.222899786226,AUD
DE7876438,Shop,Shopping,2736.259403471804,No,2024-01-10,Germany,147,Savings,2238.6717191375305,INR
DE7875577,Restaurant,Entertainment,2122.287454408637,Yes,2024-06-28,Germany,112,Pension,2978.448829906487,EUR
UK2641822,Shop,Entertainment,4359.009105672643,No,2025-03-24,UK,58,Remote Job,1135.484455902136,EUR
P12426629,Shop,Accommodation,2778.956298595573,Yes,2024-11-14,Australia,149,Freelance,2920.3017362662786,JPY
USA4284203,Restaurant,Food,3533.893533773032,Yes,2025-01-19,USA,95,Savings,3731.399426665352,AUD
P79846217,Tourist Attraction,Entertainment,6863.948108357572,No,2024-04-15,Japan,106,Freelance,3472.7862425357694,INR
P69635835,Shop,Accommodation,1719.43120771147,Yes,2024-12-23,Australia,41,Remote Job,1991.626735176016,INR
UK8962462,Tourist Attraction,Entertainment,8877.464899086117,No,2024-11-29,UK,52,Remote Job,1645.2954365584897,USD
USA0451151,Shop,Food,7093.301254617728,No,2024-03-09,USA,107,Remote Job,2249.271990471768,JPY
USA3679903,Restaurant,Accommodation,8591.852117715094,Yes,2024-09-26,USA,25,Remote Job,1770.1593518091695,EUR
CN490826899,Restaurant,Shopping,4460.110270819199,No,2024-09-10,China,17,Savings,4519.938544588835,INR
USA2039858,Restaurant,Accommodation,4633.281470118002,No,2024-04-04,USA,83,Remote Job,3183.302655807988,GBP
USA4434254,Restaurant,Shopping,7443.596056948144,No,2024-12-07,USA,37,Savings,2219.3088853339104,USD
P72698635,Restaurant,Entertainment,7808.994083061081,No,2024-09-12,Australia,138,Remote Job,1401.14116662857,GBP
P57285767,Hotel,Entertainment,2163.824215794184,No,2024-02-29,Australia,178,Savings,4768.138936952515,GBP
P28429402,Shop,Shopping,6007.499082263326,No,2024-09-08,Australia,24,Savings,1203.5297602235623,EUR
CN597313119,Restaurant,Shopping,5858.612241271949,Yes,2024-04-10,China,20,Savings,2968.281281590962,AUD
USA9008159,Shop,Shopping,5443.111026508801,Yes,2024-05-14,USA,170,Remote Job,3737.3000923821673,JPY
USA8220921,Hotel,Food,4069.005620197834,No,2024-05-24,USA,38,Savings,1017.0712064717196,CNY
CN821476723,Hotel,Accommodation,762.6823138119171,Yes,2024-04-21,China,158,Pension,4491.437098894623,GBP
DE8004417,Tourist Attraction,Food,2756.9948707187546,No,2024-01-06,Germany,124,Pension,3811.170791041096,JPY
P38146848,Tourist Attraction,Entertainment,3277.241406805452,Yes,2024-04-19,Australia,152,Savings,2280.637709445808,USD
CN519241285,Restaurant,Shopping,5654.882577225152,No,2024-01-30,China,101,Remote Job,1332.9504456079958,USD
IN6246851,Hotel,Accommodation,3771.0124436621854,No,2025-01-27,India,112,Freelance,3105.533822426908,EUR
P22395824,Tourist Attraction,Shopping,8288.838280167047,No,2024-12-22,Japan,23,Freelance,2662.9711979635767,CNY
UK0644109,Restaurant,Accommodation,9965.674708901131,No,2025-02-14,UK,12,Pension,4866.524237992937,GBP
USA8153090,Shop,Shopping,805.0919288485239,Yes,2024-02-18,USA,118,Savings,1969.0217085316133,JPY
P14886111,Hotel,Entertainment,5369.061299164931,No,2024-02-27,Australia,19,Savings,4645.807855949997,EUR
CN641404205,Shop,Food,3066.758793950624,No,2024-07-26,China,86,Pension,1877.32142890055,EUR
DE1451057,Hotel,Accommodation,4200.353195368423,No,2024-08-08,Germany,92,Savings,3500.81549912427,JPY
USA3517025,Shop,Accommodation,2382.178286110367,Yes,2024-08-06,USA,118,Remote Job,3983.1706143705214,USD
CN862548516,Tourist Attraction,Accommodation,3438.0493625322497,No,2025-02-05,China,177,Savings,1569.5539130783031,USD
DE1118216,Restaurant,Accommodation,9738.175542531497,Yes,2024-12-11,Germany,137,Remote Job,2223.857333628036,JPY
P77808215,Tourist Attraction,Shopping,4863.986654100811,Yes,2024-01-22,Australia,120,Pension,2993.11998919433,USD
UK2697828,Hotel,Shopping,4041.033326765391,No,2025-02-22,UK,4,Savings,1410.3721861523316,INR
UK6021662,Tourist Attraction,Entertainment,2444.3731818474066,Yes,2024-03-20,UK,132,Pension,4816.794147355011,JPY
CN074975840,Tourist Attraction,Shopping,5399.508388954939,Yes,2024-10-10,China,36,Pension,2490.1130312962423,EUR
IN9186050,Shop,Shopping,3481.051604484442,No,2024-04-08,India,78,Pension,4840.075490616933,USD
UK4398437,Restaurant,Entertainment,2070.019650653998,No,2024-02-02,UK,124,Freelance,3702.83612225359,JPY
CN837255051,Restaurant,Shopping,6070.170499279052,Yes,2024-01-02,China,20,Pension,1445.713730490272,AUD
IN3596674,Shop,Accommodation,1064.7324155636647,No,2024-04-30,India,12,Savings,3172.2917877543086,EUR
UK0427941,Shop,Food,5479.8710354701125,No,2024-10-31,UK,138,Pension,1249.7183616903703,INR
P98013138,Shop,Food,4520.192951246996,No,2024-06-05,Australia,90,Remote Job,4646.565790165081,EUR
P97881013,Shop,Shopping,1869.7580493120772,No,2024-04-29,Japan,111,Savings,2584.76766353533,CNY
P23523135,Restaurant,Food,3187.22809509624,Yes,2024-01-19,Australia,149,Savings,2948.1432454507258,AUD
UK5237651,Hotel,Shopping,1901.359326886534,Yes,2024-06-04,UK,46,Freelance,4431.211996698943,JPY
P22395824,Restaurant,Shopping,808.218697376919,No,2025-04-24,Japan,23,Freelance,2662.9711979635767,CNY
CN791079834,Hotel,Entertainment,9316.820850135313,No,2025-04-02,China,127,Pension,3817.276014893388,GBP
USA4603118,Tourist Attraction,Entertainment,7141.413715599267,No,2025-03-20,USA,89,Remote Job,2174.4826148507864,AUD
CN111492421,Shop,Accommodation,3108.802995305686,Yes,2024-05-14,China,132,Freelance,4799.289978162649,GBP
P43177910,Shop,Food,3678.684965543982,Yes,2024-01-03,Australia,154,Remote Job,2257.0451041813467,GBP
DE1358943,Tourist Attraction,Shopping,7940.934222600295,Yes,2024-10-21,Germany,64,Savings,3103.131809367047,CNY
P34395196,Shop,Accommodation,8433.612602024503,No,2024-08-20,Japan,37,Pension,2851.2009437152947,JPY
P43177910,Restaurant,Entertainment,7802.445428245784,Yes,2024-10-12,Australia,154,Remote Job,2257.0451041813467,GBP
P99024431,Hotel,Food,1277.271234557258,No,2024-11-21,Australia,154,Remote Job,1721.6379787833982,CNY
P18091115,Restaurant,Food,1898.199886893436,No,2025-04-13,Japan,81,Savings,1543.8915878165103,GBP
USA1159870,Hotel,Entertainment,1119.328085712643,No,2025-04-01,USA,97,Remote Job,4951.375509374719,CNY
P16299959,Tourist Attraction,Food,3316.8777157793643,No,2024-12-24,Japan,104,Freelance,3801.1864554840527,CNY
CN474905436,Tourist Attraction,Shopping,6366.1170771614,No,2024-02-25,China,130,Freelance,2179.424788139138,INR
UK1915042,Tourist Attraction,Accommodation,2922.734992018957,Yes,2024-11-14,UK,6,Savings,2885.927028413723,JPY
P73165372,Restaurant,Food,1362.9667564496358,Yes,2024-05-02,Australia,67,Pension,2067.8399537720256,AUD
USA5232486,Shop,Shopping,8735.28640775626,No,2024-07-28,USA,91,Savings,4610.08489987782,CNY
DE9853964,Hotel,Shopping,4073.0755451867512,Yes,2024-12-21,Germany,180,Freelance,3092.1261026634725,USD
P61708406,Tourist Attraction,Food,3787.1579404837785,Yes,2024-07-04,Australia,161,Freelance,3873.3852175895,INR
P44158153,Tourist Attraction,Entertainment,7059.200447885461,No,2024-05-03,Australia,114,Savings,2580.914604068133,USD
P77843167,Hotel,Food,3569.0819350922297,No,2024-12-15,Japan,71,Remote Job,1466.7523484609817,AUD
P21288809,Shop,Shopping,8107.887579996372,Yes,2024-04-05,Japan,36,Savings,1254.911206821478,CNY
CN256131975,Hotel,Entertainment,4327.481619063991,Yes,2025-04-29,China,130,Freelance,4781.777009343886,CNY
P17802249,Shop,Shopping,4680.144698216738,No,2024-04-17,Japan,37,Remote Job,4182.760874318942,GBP
USA8782451,Tourist Attraction,Accommodation,4027.515056147052,Yes,2024-03-19,USA,107,Pension,1026.6996335982856,USD
CN147702873,Shop,Accommodation,663.7949754895594,Yes,2024-05-01,China,141,Savings,3194.787351489028,AUD
IN5679947,Shop,Food,5729.19707025683,Yes,2024-10-10,India,45,Remote Job,4811.766411031773,JPY
P19317874,Restaurant,Food,4808.069627609192,Yes,2024-01-25,Japan,94,Remote Job,4774.560082836213,JPY
UK6830149,Tourist Attraction,Food,9396.150156016787,No,2024-11-20,UK,59,Freelance,4963.809414085973,INR
CN992123377,Tourist Attraction,Accommodation,8498.983145493006,No,2024-04-16,China,82,Pension,1313.7173099191325,AUD
IN3583907,Hotel,Entertainment,9850.156710109124,Yes,2024-10-08,India,85,Pension,3086.708251139914,USD
UK2934357,Hotel,Accommodation,4756.153707977677,Yes,2024-04-11,UK,84,Remote Job,4414.872458562375,GBP
UK0050381,Hotel,Food,4612.883885609034,No,2024-04-30,UK,27,Savings,3870.63009996573,INR
USA8386279,Shop,Entertainment,550.0364482094168,No,2024-06-10,USA,11,Savings,3468.024112289955,INR
IN4154046,Restaurant,Accommodation,3516.107605713824,Yes,2025-03-12,India,169,Pension,3615.252655031065,AUD
USA8386279,Shop,Shopping,6114.9855287089695,Yes,2024-10-15,USA,11,Savings,3468.024112289955,INR
IN1678559,Restaurant,Shopping,5151.795199668803,Yes,2024-02-15,India,94,Savings,4595.179881320183,JPY
DE7325596,Hotel,Shopping,8836.790537473085,Yes,2024-08-15,Germany,138,Remote Job,2066.576991892587,JPY
P60690620,Restaurant,Accommodation,5578.142132147764,No,2024-07-11,Australia,78,Remote Job,1813.29193403811,CNY
USA6556711,Shop,Accommodation,6766.835208774134,Yes,2024-12-11,USA,12,Remote Job,4014.526062565256,EUR
UK1484982,Tourist Attraction,Food,8671.699912392754,No,2024-04-02,UK,107,Freelance,2949.3261920792656,CNY
IN9835779,Tourist Attraction,Accommodation,1046.4276087420924,Yes,2025-03-13,India,109,Pension,2185.159295590881,EUR
IN3158905,Restaurant,Accommodation,8262.742548644543,Yes,2024-02-05,India,37,Remote Job,4236.231722270868,JPY
USA7403574,Restaurant,Shopping,8278.526020572242,No,2025-02-16,USA,112,Remote Job,2937.107177502605,USD
CN180172316,Shop,Accommodation,9410.474826699618,Yes,2024-09-07,China,58,Pension,3509.711675985211,INR
USA4310495,Hotel,Food,7977.13679828469,No,2025-01-22,USA,7,Savings,3781.232670506042,EUR
IN6163311,Restaurant,Accommodation,7636.282023006152,Yes,2024-01-09,India,34,Remote Job,1486.4825440888762,CNY
P46691767,Tourist Attraction,Accommodation,5976.426599054854,Yes,2024-01-16,Japan,58,Freelance,2810.3001940777804,CNY
IN0083078,Tourist Attraction,Food,5942.154311904211,No,2024-09-20,India,139,Freelance,2402.274276703818,GBP
UK7276795,Tourist Attraction,Accommodation,4861.499419130743,No,2025-03-26,UK,83,Pension,1478.8824310176735,USD
CN948551756,Tourist Attraction,Food,6815.982402604874,No,2024-04-09,China,31,Savings,4924.471176337562,JPY
DE0411501,Tourist Attraction,Entertainment,1732.5532430975677,No,2024-08-11,Germany,46,Pension,1787.4555979566485,GBP
USA6328590,Hotel,Shopping,2437.966054289078,No,2024-11-18,USA,33,Remote Job,1858.2343825598252,CNY
DE4894816,Shop,Entertainment,3297.102200185745,Yes,2024-11-29,Germany,146,Savings,4570.965239572999,USD
CN563668871,Tourist Attraction,Shopping,1189.4143370411691,No,2024-10-26,China,84,Freelance,4082.6353794384977,USD
IN7163347,Shop,Food,5926.245086184924,No,2024-04-13,India,14,Freelance,4159.600297286628,INR
P94158444,Shop,Shopping,5270.082389686331,No,2025-01-22,Japan,13,Freelance,4155.504519989764,JPY
P17802249,Shop,Shopping,5796.407967478757,No,2024-12-17,Japan,37,Remote Job,4182.760874318942,GBP
CN056350979,Hotel,Entertainment,1501.9909959144636,Yes,2024-02-12,China,31,Remote Job,2399.0386669401114,AUD
P83870396,Hotel,Food,9263.140479321684,No,2024-05-31,Japan,157,Remote Job,2363.1738760743847,EUR
CN809600165,Hotel,Entertainment,6782.981085549564,Yes,2025-03-17,China,156,Savings,4368.039099428876,GBP
USA0981631,Restaurant,Accommodation,7548.847545571584,No,2025-04-08,USA,88,Freelance,2945.762503312004,AUD
DE9853964,Shop,Food,4470.753104419058,Yes,2024-05-01,Germany,180,Freelance,3092.1261026634725,USD
P11935964,Shop,Accommodation,1672.005463159014,Yes,2024-10-27,Japan,3,Pension,1292.4036243055248,CNY
P35363053,Restaurant,Shopping,5027.368460464195,Yes,2024-12-14,Australia,6,Freelance,4150.054492248233,JPY
IN5291633,Tourist Attraction,Shopping,9320.351725477827,No,2024-07-23,India,94,Savings,4729.137245896274,GBP
IN2690901,Restaurant,Accommodation,5160.673562050103,No,2024-03-18,India,49,Pension,1449.2652324786045,JPY
IN7327353,Tourist Attraction,Accommodation,4699.896208060451,Yes,2024-05-01,India,11,Freelance,4295.50940672618,USD
USA4836136,Tourist Attraction,Entertainment,3463.3451476119694,No,2024-10-11,USA,47,Freelance,2021.680365106076,CNY
CN526440969,Hotel,Food,7887.409478901874,No,2024-05-14,China,14,Pension,1043.2622170584957,USD
P99024431,Shop,Entertainment,2721.4928785520847,Yes,2024-11-05,Australia,154,Remote Job,1721.6379787833982,CNY
DE2476713,Hotel,Shopping,1851.65402521554,No,2024-07-25,Germany,77,Pension,4753.604360911266,CNY
DE9853964,Restaurant,Shopping,3811.893472719456,No,2025-01-25,Germany,180,Freelance,3092.1261026634725,USD
IN3156570,Shop,Shopping,7704.417701171426,Yes,2024-05-01,India,116,Freelance,4097.195375331961,GBP
CN715021724,Restaurant,Shopping,987.4123250496218,No,2024-10-08,China,149,Freelance,4141.129061936888,USD
CN235475535,Shop,Shopping,8666.145330145739,No,2024-08-03,China,161,Pension,4930.89807248063,INR
DE0011710,Shop,Accommodation,6759.1424411178095,No,2024-10-24,Germany,171,Freelance,1123.406233351274,USD
CN381871911,Restaurant,Shopping,7141.620085787628,Yes,2024-08-04,China,66,Remote Job,2268.7054634926158,JPY
P78818764,Tourist Attraction,Entertainment,2374.5988844812678,No,2024-04-21,Australia,71,Pension,2307.3826454644386,CNY
P20204474,Restaurant,Accommodation,6898.718819269845,No,2024-04-30,Japan,168,Pension,1656.139728536381,CNY
P95454304,Shop,Accommodation,9382.192859356976,No,2024-07-13,Australia,130,Remote Job,4005.359934837772,GBP
